Subject,ARD,Clark Error Grid,Surveillance Error Grid
5,0.11654086,"[0.9090909090909091, 0.09090909090909091, 0.0, 0.0, 0.0]","{'None': 95.45454545454545, 'Slight': 4.545454545454546, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
18,0.32044798,"[0.3684210526315789, 0.5789473684210527, 0.0, 0.05263157894736842, 0.0]","{'None': 68.42105263157895, 'Slight': 31.57894736842105, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
28,0.11654712,"[0.875, 0.125, 0.0, 0.0, 0.0]","{'None': 81.25, 'Slight': 18.75, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
22,0.24968705,"[0.4375, 0.5625, 0.0, 0.0, 0.0]","{'None': 25.0, 'Slight': 75.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
4,0.20060334,"[0.5789473684210527, 0.42105263157894735, 0.0, 0.0, 0.0]","{'None': 73.68421052631578, 'Slight': 26.31578947368421, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
14,0.23413122,"[0.5789473684210527, 0.10526315789473684, 0.0, 0.3157894736842105, 0.0]","{'None': 100.0, 'Slight': 0.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
11,0.23671637,"[0.5217391304347826, 0.43478260869565216, 0.0, 0.043478260869565216, 0.0]","{'None': 78.26086956521739, 'Slight': 21.73913043478261, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
8,0.19745082,"[0.5925925925925926, 0.4074074074074074, 0.0, 0.0, 0.0]","{'None': 70.37037037037037, 'Slight': 29.629629629629626, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
21,0.10643805,"[0.8947368421052632, 0.10526315789473684, 0.0, 0.0, 0.0]","{'None': 78.94736842105263, 'Slight': 21.052631578947366, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
20,0.09009608,"[0.9, 0.1, 0.0, 0.0, 0.0]","{'None': 100.0, 'Slight': 0.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
7,0.1665055,"[0.75, 0.25, 0.0, 0.0, 0.0]","{'None': 45.0, 'Slight': 55.00000000000001, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
19,0.12706742,"[0.875, 0.125, 0.0, 0.0, 0.0]","{'None': 37.5, 'Slight': 62.5, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
3,0.17655277,"[0.6875, 0.25, 0.0, 0.0625, 0.0]","{'None': 87.5, 'Slight': 12.5, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
25,0.2594831,"[0.5416666666666666, 0.4166666666666667, 0.0, 0.041666666666666664, 0.0]","{'None': 79.16666666666666, 'Slight': 20.833333333333336, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
2,0.113352336,"[0.85, 0.15, 0.0, 0.0, 0.0]","{'None': 80.0, 'Slight': 20.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
27,0.12361997,"[0.75, 0.25, 0.0, 0.0, 0.0]","{'None': 62.5, 'Slight': 37.5, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
26,0.1469893,"[0.6956521739130435, 0.30434782608695654, 0.0, 0.0, 0.0]","{'None': 100.0, 'Slight': 0.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
24,0.21273698,"[0.5, 0.5, 0.0, 0.0, 0.0]","{'None': 62.5, 'Slight': 37.5, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
10,0.16252276,"[0.7142857142857143, 0.2857142857142857, 0.0, 0.0, 0.0]","{'None': 78.57142857142857, 'Slight': 21.428571428571427, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
23,0.20056684,"[0.625, 0.375, 0.0, 0.0, 0.0]","{'None': 81.25, 'Slight': 18.75, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
6,0.25339854,"[0.65, 0.15, 0.0, 0.2, 0.0]","{'None': 80.0, 'Slight': 20.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
