Subject,ARD,Clark Error Grid,Surveillance Error Grid
17,0.17831075,"[0.7083333333333334, 0.2916666666666667, 0.0, 0.0, 0.0]","{'None': 58.333333333333336, 'Slight': 41.66666666666667, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
19,0.210817,"[0.625, 0.375, 0.0, 0.0, 0.0]","{'None': 50.0, 'Slight': 50.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
1,0.20964968,"[0.4583333333333333, 0.5416666666666666, 0.0, 0.0, 0.0]","{'None': 52.083333333333336, 'Slight': 47.91666666666667, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
7,0.15605138,"[0.65, 0.35, 0.0, 0.0, 0.0]","{'None': 60.0, 'Slight': 40.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
27,0.17586905,"[0.6666666666666666, 0.3125, 0.020833333333333332, 0.0, 0.0]","{'None': 62.5, 'Slight': 37.5, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
8,0.22589305,"[0.5060240963855421, 0.4939759036144578, 0.0, 0.0, 0.0]","{'None': 45.78313253012048, 'Slight': 54.21686746987952, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
12,0.32445472,"[0.26666666666666666, 0.7333333333333333, 0.0, 0.0, 0.0]","{'None': 30.666666666666664, 'Slight': 69.33333333333334, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
18,0.40091428,"[0.07142857142857142, 0.8571428571428571, 0.0, 0.07142857142857142, 0.0]","{'None': 50.0, 'Slight': 50.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
23,0.25494003,"[0.3541666666666667, 0.6458333333333334, 0.0, 0.0, 0.0]","{'None': 66.66666666666666, 'Slight': 33.33333333333333, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
22,0.18021457,"[0.6875, 0.3125, 0.0, 0.0, 0.0]","{'None': 54.166666666666664, 'Slight': 45.83333333333333, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
28,0.16621546,"[0.7291666666666666, 0.2708333333333333, 0.0, 0.0, 0.0]","{'None': 35.41666666666667, 'Slight': 64.58333333333334, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
5,0.27038938,"[0.421875, 0.578125, 0.0, 0.0, 0.0]","{'None': 56.25, 'Slight': 43.75, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
31,0.9160806,"[0.03571428571428571, 0.6785714285714286, 0.0, 0.2857142857142857, 0.0]","{'None': 14.285714285714285, 'Slight': 85.71428571428571, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
13,0.3095012,"[0.25, 0.75, 0.0, 0.0, 0.0]","{'None': 18.75, 'Slight': 81.25, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
15,0.1146642,"[0.8125, 0.1875, 0.0, 0.0, 0.0]","{'None': 66.66666666666666, 'Slight': 33.33333333333333, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
30,0.151123,"[0.75, 0.25, 0.0, 0.0, 0.0]","{'None': 47.91666666666667, 'Slight': 52.083333333333336, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
2,0.15646611,"[0.7, 0.3, 0.0, 0.0, 0.0]","{'None': 56.666666666666664, 'Slight': 43.333333333333336, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
29,0.16700156,"[0.6730769230769231, 0.3269230769230769, 0.0, 0.0, 0.0]","{'None': 55.769230769230774, 'Slight': 44.230769230769226, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
4,0.23641407,"[0.44642857142857145, 0.5535714285714286, 0.0, 0.0, 0.0]","{'None': 62.5, 'Slight': 37.5, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
14,0.47517633,"[0.3392857142857143, 0.30357142857142855, 0.0, 0.35714285714285715, 0.0]","{'None': 58.92857142857143, 'Slight': 41.07142857142857, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
16,0.23922409,"[0.5961538461538461, 0.3269230769230769, 0.0, 0.07692307692307693, 0.0]","{'None': 84.61538461538461, 'Slight': 15.384615384615385, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
