Subject,ARD,Clark Error Grid,Surveillance Error Grid
18,0.42354992,"[0.07142857142857142, 0.8571428571428571, 0.0, 0.07142857142857142, 0.0]","{'None': 35.714285714285715, 'Slight': 60.71428571428571, 'Moderate': 3.571428571428571, 'Great': 0.0, 'Extreme': 0.0}"
7,0.26632562,"[0.55, 0.45, 0.0, 0.0, 0.0]","{'None': 35.0, 'Slight': 65.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
22,0.44179782,"[0.20833333333333334, 0.7916666666666666, 0.0, 0.0, 0.0]","{'None': 29.166666666666668, 'Slight': 70.83333333333334, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
6,0.3167017,"[0.6, 0.2, 0.0, 0.2, 0.0]","{'None': 51.66666666666667, 'Slight': 48.333333333333336, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
19,0.16432394,"[0.6458333333333334, 0.3541666666666667, 0.0, 0.0, 0.0]","{'None': 47.91666666666667, 'Slight': 52.083333333333336, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
1,0.23280986,"[0.3958333333333333, 0.6041666666666666, 0.0, 0.0, 0.0]","{'None': 58.333333333333336, 'Slight': 41.66666666666667, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
24,0.22298463,"[0.5416666666666666, 0.4583333333333333, 0.0, 0.0, 0.0]","{'None': 68.75, 'Slight': 31.25, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
26,0.25933516,"[0.3088235294117647, 0.6911764705882353, 0.0, 0.0, 0.0]","{'None': 70.58823529411765, 'Slight': 29.411764705882355, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
4,0.30381897,"[0.375, 0.6071428571428571, 0.017857142857142856, 0.0, 0.0]","{'None': 46.42857142857143, 'Slight': 53.57142857142857, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
8,0.3316129,"[0.2125, 0.7875, 0.0, 0.0, 0.0]","{'None': 26.25, 'Slight': 73.75, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
20,0.16513598,"[0.75, 0.25, 0.0, 0.0, 0.0]","{'None': 82.14285714285714, 'Slight': 17.857142857142858, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
23,0.26768434,"[0.5, 0.5, 0.0, 0.0, 0.0]","{'None': 70.83333333333334, 'Slight': 29.166666666666668, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
